code_module,code_presentation,week,total_clicks,active_learners
CCC,2014B,6,41891,3098
CCC,2014B,7,40389,2580
CCC,2014B,8,41593,2348
CCC,2014B,9,54113,2408
CCC,2014B,10,122057,3505
CCC,2014B,11,21293,1711
CCC,2014B,12,20836,1596
CCC,2014B,13,23985,1828
CCC,2014B,14,35702,2107
CCC,2014B,15,54988,2932
CCC,2014B,16,32128,2156
CCC,2014B,17,32028,1814
CCC,2014B,18,35954,1791
CCC,2014B,19,45205,2015
CCC,2014B,20,118790,2924
CCC,2014B,21,27393,1880
CCC,2014B,22,32845,2322
CCC,2014B,23,24837,1837
CCC,2014B,24,23171,1551
CCC,2014B,25,22128,1392
CCC,2014B,26,23181,1338
CCC,2014B,27,24114,1315
CCC,2014B,28,37575,1715
CCC,2014B,29,65795,2423
CCC,2014B,30,91351,2342
CCC,2014B,31,48942,1598
CCC,2014B,32,49563,1259
CCC,2014B,33,80413,2462
CCC,2014B,34,10207,1093
CCC,2014B,35,3473,511
CCC,2014J,-2,38370,2236
CCC,2014J,-1,42418,2968
CCC,2014J,0,57472,3681
CCC,2014J,1,137255,5248
CCC,2014J,2,156986,5349
CCC,2014J,3,228353,6468
CCC,2014J,4,90777,4631
CCC,2014J,5,101601,5929
CCC,2014J,6,62604,4280
CCC,2014J,7,60600,3493
CCC,2014J,8,61094,3206
CCC,2014J,9,77831,3525
CCC,2014J,10,160176,4957
CCC,2014J,11,26756,2122
CCC,2014J,12,16424,1302
CCC,2014J,13,24376,1756
CCC,2014J,14,41590,3008
CCC,2014J,15,50112,3251
CCC,2014J,16,77776,4462
CCC,2014J,17,54498,3244
CCC,2014J,18,48767,2849
CCC,2014J,19,45348,2563
CCC,2014J,20,70000,3100
CCC,2014J,21,164684,4680
CCC,2014J,22,47334,3214
CCC,2014J,23,57005,3855
CCC,2014J,24,33900,2891
CCC,2014J,25,29054,2462
CCC,2014J,26,29355,2099
CCC,2014J,27,31753,1850
CCC,2014J,28,36969,2118
CCC,2014J,29,45709,2701
CCC,2014J,30,76456,3629
CCC,2014J,31,137379,3639
CCC,2014J,32,53812,2646
CCC,2014J,33,70304,2199
CCC,2014J,34,98919,2574
CCC,2014J,35,126367,3578
CCC,2014J,36,11221,1297
CCC,2014J,37,4778,972
CCC,2014J,38,4672,807
CCC,2014J,39,2117,443
DDD,2013B,-2,15063,666
DDD,2013B,-1,35780,2350
DDD,2013B,0,54878,2996
DDD,2013B,1,73148,3685
DDD,2013B,2,65401,3431
DDD,2013B,3,83260,3803
DDD,2013B,4,97472,4468
DDD,2013B,5,58389,3429
DDD,2013B,6,42267,2955
DDD,2013B,7,50162,3152
DDD,2013B,8,70340,3899
DDD,2013B,9,25675,2501
DDD,2013B,10,28643,2519
DDD,2013B,11,32580,2687
DDD,2013B,12,49835,3512
DDD,2013B,13,24455,2418
DDD,2013B,14,24522,2191
DDD,2013B,15,24118,2152
DDD,2013B,16,28541,2386
DDD,2013B,17,54569,3189
DDD,2013B,18,51967,2553
DDD,2013B,19,49041,2411
DDD,2013B,20,44477,2296
DDD,2013B,21,44781,2445
DDD,2013B,22,47608,2800
DDD,2013B,23,20292,1889
DDD,2013B,24,19321,1862
DDD,2013B,25,20505,1913
DDD,2013B,26,10639,1233
DDD,2013B,27,11030,1188
DDD,2013B,28,14876,1440
DDD,2013B,29,25788,2002
DDD,2013B,30,19897,1869
DDD,2013B,31,18852,1517
DDD,2013B,32,19781,1567
DDD,2013B,33,24226,1909
DDD,2013B,34,4341,911
DDD,2013B,35,947,249
DDD,2013J,-2,43457,2111
DDD,2013J,-1,39633,2933
DDD,2013J,0,62998,3946
DDD,2013J,1,90125,4898
DDD,2013J,2,79342,4816
DDD,2013J,3,79712,4523
DDD,2013J,4,103254,5585
DDD,2013J,5,67435,4500
DDD,2013J,6,53330,4027
DDD,2013J,7,64498,3794
DDD,2013J,8,74148,4568
DDD,2013J,9,32794,3391
DDD,2013J,10,24257,2783
DDD,2013J,11,12268,1543
DDD,2013J,12,25356,2554
DDD,2013J,13,48318,4122
DDD,2013J,14,29888,3242
DDD,2013J,15,28280,2934
DDD,2013J,16,27686,2778
DDD,2013J,17,36826,3281
DDD,2013J,18,60819,4062
DDD,2013J,19,60980,3571
DDD,2013J,20,60923,3506
DDD,2013J,21,52350,3349
DDD,2013J,22,45072,3099
DDD,2013J,23,41487,3067
DDD,2013J,24,49777,3536
DDD,2013J,25,25448,2573
DDD,2013J,26,18804,2224
DDD,2013J,27,14946,1846
DDD,2013J,28,18241,1862
DDD,2013J,29,24678,2286
DDD,2013J,30,45004,3090
DDD,2013J,31,44237,2667
DDD,2013J,32,43011,2482
DDD,2013J,33,57314,2756
DDD,2013J,34,58674,3157
DDD,2013J,35,5559,1145
DDD,2013J,36,2917,824
DDD,2013J,37,2505,754
DDD,2013J,38,863,272
DDD,2014B,-2,25947,1276
DDD,2014B,-1,21995,1648
DDD,2014B,0,35683,2099
DDD,2014B,1,61827,3171
DDD,2014B,2,50984,3077
DDD,2014B,3,52911,3090
DDD,2014B,4,65205,3609
DDD,2014B,5,40190,2869
DDD,2014B,6,33369,2401
DDD,2014B,7,30726,2383
DDD,2014B,8,45755,2944
DDD,2014B,9,19682,2124
DDD,2014B,10,21551,2051
DDD,2014B,11,27957,2385
DDD,2014B,12,14537,1608
DDD,2014B,13,13449,1660
DDD,2014B,14,12881,1404
DDD,2014B,15,12964,1415
DDD,2014B,16,17979,1677
DDD,2014B,17,33119,2219
DDD,2014B,18,32506,1926
DDD,2014B,19,30011,1776
DDD,2014B,20,25889,1664
DDD,2014B,21,22635,1622
DDD,2014B,22,20128,1526
DDD,2014B,23,26567,1849
DDD,2014B,24,13239,1382
DDD,2014B,25,9774,1101
DDD,2014B,26,6913,897
DDD,2014B,27,8014,934
DDD,2014B,28,12122,1113
DDD,2014B,29,18841,1510
DDD,2014B,30,15945,1105
DDD,2014B,31,17391,1205
DDD,2014B,32,13880,865
DDD,2014B,33,30239,1845
DDD,2014B,34,3508,712
DDD,2014B,35,1344,262
DDD,2014J,-3,27459,1490
DDD,2014J,-2,16318,1694
DDD,2014J,-1,30431,2337
DDD,2014J,0,74970,3876
DDD,2014J,1,97112,4811
DDD,2014J,2,66984,4313
DDD,2014J,3,71201,4827
DDD,2014J,4,59666,4225
DDD,2014J,5,56964,3868
DDD,2014J,6,65050,4462
DDD,2014J,7,45448,3582
DDD,2014J,8,34987,3084
DDD,2014J,9,48483,3918
DDD,2014J,10,29031,2499
DDD,2014J,11,12863,1409
DDD,2014J,12,13047,1475
DDD,2014J,13,26674,2511
DDD,2014J,14,28485,2436
DDD,2014J,15,26606,2441
DDD,2014J,16,48100,3739
DDD,2014J,17,30000,2873
DDD,2014J,18,29932,2502
DDD,2014J,19,26331,2378
DDD,2014J,20,28379,2431
DDD,2014J,21,48526,3586
DDD,2014J,22,27253,2659
DDD,2014J,23,23465,2350
DDD,2014J,24,22393,2117
DDD,2014J,25,17733,1723
DDD,2014J,26,14439,1559
DDD,2014J,27,18080,1926
DDD,2014J,28,34694,3034
DDD,2014J,29,21428,2147
DDD,2014J,30,26242,2124
DDD,2014J,31,27350,1950
DDD,2014J,32,31852,1948
DDD,2014J,33,28116,1975
DDD,2014J,34,47737,2687
DDD,2014J,35,45270,2615
DDD,2014J,36,5116,749
DDD,2014J,37,2543,558
DDD,2014J,38,993,274
EEE,2013J,-1,27830,986
EEE,2013J,0,46740,1656
EEE,2013J,1,73327,2516
EEE,2013J,2,76134,2511
EEE,2013J,3,126826,3013
EEE,2013J,4,56280,2584
EEE,2013J,5,82885,3376
EEE,2013J,6,36338,2369
EEE,2013J,7,44506,2500
EEE,2013J,8,45469,2525
EEE,2013J,9,40481,2506
EEE,2013J,10,57927,2915
EEE,2013J,11,20960,1564
EEE,2013J,12,8751,740
EEE,2013J,13,17522,967
EEE,2013J,14,22128,1497
EEE,2013J,15,27508,1627
EEE,2013J,16,32565,1855
EEE,2013J,17,41914,2194
EEE,2013J,18,64588,2756
EEE,2013J,19,44808,1772
EEE,2013J,20,59945,1917
EEE,2013J,21,61234,1920
EEE,2013J,22,75554,2253
EEE,2013J,23,104158,2811
EEE,2013J,24,25919,1389
EEE,2013J,25,25298,1307
EEE,2013J,26,22466,1089
EEE,2013J,27,23633,1100
EEE,2013J,28,33451,1105
EEE,2013J,29,12776,769
EEE,2013J,30,11843,800
EEE,2013J,31,12023,809
EEE,2013J,32,14796,959
EEE,2013J,33,19549,1245
EEE,2013J,34,30398,1550
EEE,2013J,35,2491,444
EEE,2013J,36,1636,361
EEE,2013J,37,1499,310
EEE,2013J,38,1325,288
EEE,2013J,39,472,110
EEE,2014B,-2,11693,546
EEE,2014B,-1,16476,742
EEE,2014B,0,20647,926
EEE,2014B,1,38845,1544
EEE,2014B,2,37468,1559
EEE,2014B,3,66450,1843
EEE,2014B,4,31103,1614
EEE,2014B,5,42245,1956
EEE,2014B,6,20557,1377
EEE,2014B,7,22866,1393
EEE,2014B,8,26010,1503
EEE,2014B,9,24742,1499
EEE,2014B,10,31983,1742
EEE,2014B,11,10169,818
EEE,2014B,12,7909,701
EEE,2014B,13,8982,702
EEE,2014B,14,10191,726
EEE,2014B,15,14329,965
EEE,2014B,16,19447,1253
EEE,2014B,17,28792,1468
EEE,2014B,18,27164,1130
EEE,2014B,19,35224,1101
EEE,2014B,20,38247,1122
EEE,2014B,21,46000,1252
EEE,2014B,22,56693,1633
EEE,2014B,23,11046,755
EEE,2014B,24,10995,683
EEE,2014B,25,10409,588
EEE,2014B,26,9855,548
EEE,2014B,27,11751,579
EEE,2014B,28,18715,668
EEE,2014B,29,9638,537
EEE,2014B,30,11543,616
EEE,2014B,31,13456,818
EEE,2014B,32,10514,693
EEE,2014B,33,18134,1038
EEE,2014B,34,1410,264
EEE,2014B,35,340,114
EEE,2014J,-2,20626,862
EEE,2014J,-1,23723,1157
EEE,2014J,0,33231,1566
EEE,2014J,1,76073,2896
EEE,2014J,2,75387,2853
EEE,2014J,3,119365,3285
EEE,2014J,4,52819,2713
EEE,2014J,5,72917,3451
EEE,2014J,6,39828,2591
EEE,2014J,7,47899,2778
EEE,2014J,8,43338,2635
EEE,2014J,9,45541,2587
EEE,2014J,10,72034,3094
EEE,2014J,11,19093,1646
EEE,2014J,12,9068,893
EEE,2014J,13,11089,890
EEE,2014J,14,18133,1465
EEE,2014J,15,23020,1551
EEE,2014J,16,24896,1671
EEE,2014J,17,36991,2007
EEE,2014J,18,40281,2276
EEE,2014J,19,61161,2831
EEE,2014J,20,49292,2058
EEE,2014J,21,63181,2247
EEE,2014J,22,67142,2173
EEE,2014J,23,83596,2522
EEE,2014J,24,122167,3200
EEE,2014J,25,22757,1694
EEE,2014J,26,17336,1379
EEE,2014J,27,15329,1035
EEE,2014J,28,20492,1138
EEE,2014J,29,25795,1203
EEE,2014J,30,40404,1430
EEE,2014J,31,24892,1316
EEE,2014J,32,25256,1495
EEE,2014J,33,30298,1842
EEE,2014J,34,33405,1941
EEE,2014J,35,2989,691
EEE,2014J,36,1845,522
EEE,2014J,37,1603,506
EEE,2014J,38,1247,433
EEE,2014J,39,697,229
FFF,2013B,-2,66950,1919
FFF,2013B,-1,71070,2993
FFF,2013B,0,101541,3701
FFF,2013B,1,177855,5075
FFF,2013B,2,166719,4897
FFF,2013B,3,243464,6092
FFF,2013B,4,167948,5206
FFF,2013B,5,147975,4837
FFF,2013B,6,142070,4664
FFF,2013B,7,184784,5665
FFF,2013B,8,116417,4097
FFF,2013B,9,84874,3336
FFF,2013B,10,89759,3422
FFF,2013B,11,95047,3445
FFF,2013B,12,103424,3627
FFF,2013B,13,150806,4627
FFF,2013B,14,93527,3413
FFF,2013B,15,83032,3290
FFF,2013B,16,71601,2798
FFF,2013B,17,71123,2580
FFF,2013B,18,96892,3285
FFF,2013B,19,149383,4189
FFF,2013B,20,109716,3393
FFF,2013B,21,112273,3401
FFF,2013B,22,109130,3174
FFF,2013B,23,93704,2915
FFF,2013B,24,128490,3733
FFF,2013B,25,88518,2679
FFF,2013B,26,81539,2410
FFF,2013B,27,90151,2207
FFF,2013B,28,88350,2171
FFF,2013B,29,100532,2313
FFF,2013B,30,117705,2426
FFF,2013B,31,156277,3066
FFF,2013B,32,254005,3847
FFF,2013B,33,6956,1272
FFF,2013B,34,3686,1039
FFF,2013B,35,2762,384
FFF,2013J,-2,58958,2155
FFF,2013J,-1,65002,3343
FFF,2013J,0,107830,4449
FFF,2013J,1,250987,6999
FFF,2013J,2,219095,6595
FFF,2013J,3,302531,7836
FFF,2013J,4,211699,6499
FFF,2013J,5,191238,6421
FFF,2013J,6,180522,6036
FFF,2013J,7,217048,7056
FFF,2013J,8,156621,5427
FFF,2013J,9,113731,4666
FFF,2013J,10,103780,3903
FFF,2013J,11,87449,3336
FFF,2013J,12,44547,2003
FFF,2013J,13,98376,3434
FFF,2013J,14,188559,5879
FFF,2013J,15,135952,4632
FFF,2013J,16,116032,4230
FFF,2013J,17,94161,3694
FFF,2013J,18,94947,3779
FFF,2013J,19,168665,5108
FFF,2013J,20,117691,4233
FFF,2013J,21,132815,4281
FFF,2013J,22,136651,4003
FFF,2013J,23,125428,3695
FFF,2013J,24,109669,3682
FFF,2013J,25,146451,4547
FFF,2013J,26,94595,3097
FFF,2013J,27,84002,2886
FFF,2013J,28,78140,2277
FFF,2013J,29,82230,2265
FFF,2013J,30,102498,2542
FFF,2013J,31,131791,2724
FFF,2013J,32,135277,2965
FFF,2013J,33,151141,3437
FFF,2013J,34,255526,4373
FFF,2013J,35,9096,1384
FFF,2013J,36,6018,1111
FFF,2013J,37,4706,969
FFF,2013J,38,3701,929
FFF,2013J,39,1283,347
FFF,2014B,-2,34130,1377
FFF,2014B,-1,37198,1840
FFF,2014B,0,52027,2382
FFF,2014B,1,156646,4341
FFF,2014B,2,128203,3968
FFF,2014B,3,145545,4090
FFF,2014B,4,157402,4711
FFF,2014B,5,113365,3999
FFF,2014B,6,88801,3609
FFF,2014B,7,88938,3659
FFF,2014B,8,131560,4168
FFF,2014B,9,72044,2896
FFF,2014B,10,72525,2667
FFF,2014B,11,60061,2390
FFF,2014B,12,69807,2713
FFF,2014B,13,89054,3342
FFF,2014B,14,77528,2568
FFF,2014B,15,62700,2370
FFF,2014B,16,53431,2069
FFF,2014B,17,49528,1946
FFF,2014B,18,58383,2287
FFF,2014B,19,97088,3044
FFF,2014B,20,72180,2445
FFF,2014B,21,76105,2416
FFF,2014B,22,76552,2225
FFF,2014B,23,62144,2081
FFF,2014B,24,63473,2222
FFF,2014B,25,78839,2532
FFF,2014B,26,61727,1845
FFF,2014B,27,59947,1755
FFF,2014B,28,73723,1671
FFF,2014B,29,67881,1628
FFF,2014B,30,79301,1708
FFF,2014B,31,79685,1938
FFF,2014B,32,86579,1741
FFF,2014B,33,136055,2306
FFF,2014B,34,3958,824
FFF,2014B,35,1506,429
FFF,2014J,-2,55517,2183
FFF,2014J,-1,51017,2920
FFF,2014J,0,105442,4327
FFF,2014J,1,256300,7120
FFF,2014J,2,210108,6510
FFF,2014J,3,249297,6841
FFF,2014J,4,244023,7213
FFF,2014J,5,181772,6341
FFF,2014J,6,153349,5858
FFF,2014J,7,168209,5702
FFF,2014J,8,185797,6242
FFF,2014J,9,119880,4772
FFF,2014J,10,109883,4250
FFF,2014J,11,85913,3369
FFF,2014J,12,56292,2171
FFF,2014J,13,98672,3507
FFF,2014J,14,168561,5598
FFF,2014J,15,130273,4522
FFF,2014J,16,115055,4177
FFF,2014J,17,119048,3675
FFF,2014J,18,98224,3528
FFF,2014J,19,120809,4094
FFF,2014J,20,186525,5246
FFF,2014J,21,148269,4508
FFF,2014J,22,139473,4266
FFF,2014J,23,142393,3739
FFF,2014J,24,103798,3367
FFF,2014J,25,89959,3080
FFF,2014J,26,88561,2867
FFF,2014J,27,73404,2694
FFF,2014J,28,90517,3337
FFF,2014J,29,132366,4066
FFF,2014J,30,117662,3393
FFF,2014J,31,130261,3311
FFF,2014J,32,145486,3305
FFF,2014J,33,156854,3426
FFF,2014J,34,204824,3815
FFF,2014J,35,228536,3712
FFF,2014J,36,8716,1404
FFF,2014J,37,5126,1154
FFF,2014J,38,3870,1041
FFF,2014J,39,1768,517
GGG,2013J,-2,2417,167
GGG,2013J,-1,10896,765
GGG,2013J,0,9533,728
GGG,2013J,1,14924,1079
GGG,2013J,2,12347,1025
GGG,2013J,3,8725,826
GGG,2013J,4,8422,748
GGG,2013J,5,6769,672
GGG,2013J,6,5644,575
GGG,2013J,7,6132,657
GGG,2013J,8,5723,614
GGG,2013J,9,7775,914
GGG,2013J,10,4445,627
GGG,2013J,11,1941,267
GGG,2013J,12,4457,448
GGG,2013J,13,20849,1095
GGG,2013J,14,15634,947
GGG,2013J,15,12802,916
GGG,2013J,16,12744,893
GGG,2013J,17,10080,865
GGG,2013J,18,15434,1221
GGG,2013J,19,21432,1190
GGG,2013J,20,21073,1100
GGG,2013J,21,16002,946
GGG,2013J,22,26567,1109
GGG,2013J,23,21399,1001
GGG,2013J,24,17277,984
GGG,2013J,25,18263,1237
GGG,2013J,26,12759,982
GGG,2013J,27,16596,869
GGG,2013J,28,15095,774
GGG,2013J,29,24042,976
GGG,2013J,30,21439,979
GGG,2013J,31,23631,952
GGG,2013J,32,20861,1035
GGG,2013J,33,31736,1351
GGG,2013J,34,1521,283
GGG,2013J,35,745,201
GGG,2013J,36,420,134
GGG,2013J,37,426,146
GGG,2013J,38,114,54
GGG,2014B,-1,3101,147
GGG,2014B,0,12458,780
GGG,2014B,1,17491,1150
GGG,2014B,2,12066,1001
GGG,2014B,3,9163,790
GGG,2014B,4,7099,690
GGG,2014B,5,7620,666
GGG,2014B,6,7089,553
GGG,2014B,7,6919,579
GGG,2014B,8,7827,653
GGG,2014B,9,10389,919
GGG,2014B,10,9377,829
GGG,2014B,11,12917,798
GGG,2014B,12,10634,658
GGG,2014B,13,10346,681
GGG,2014B,14,8727,643
GGG,2014B,15,9743,732
GGG,2014B,16,7972,681
GGG,2014B,17,11093,883
GGG,2014B,18,17874,968
GGG,2014B,19,15759,852
GGG,2014B,20,14551,798
GGG,2014B,21,19059,839
GGG,2014B,22,14921,760
GGG,2014B,23,14710,795
GGG,2014B,24,15660,1031
GGG,2014B,25,11222,765
GGG,2014B,26,14255,732
GGG,2014B,27,13420,684
GGG,2014B,28,18262,706
GGG,2014B,29,13857,634
GGG,2014B,30,18306,712
GGG,2014B,31,18041,847
GGG,2014B,32,20933,809
GGG,2014B,33,1168,289
GGG,2014B,34,890,208
GGG,2014B,35,246,91
GGG,2014J,-2,4055,162
GGG,2014J,-1,8632,493
GGG,2014J,0,11754,717
GGG,2014J,1,22321,1163
GGG,2014J,2,14302,1044
GGG,2014J,3,9953,813
GGG,2014J,4,8995,714
GGG,2014J,5,8350,682
GGG,2014J,6,6689,605
GGG,2014J,7,6855,611
GGG,2014J,8,5951,572
GGG,2014J,9,7126,827
GGG,2014J,10,5275,658
GGG,2014J,11,10316,617
GGG,2014J,12,3003,214
GGG,2014J,13,4728,308
GGG,2014J,14,8905,635
GGG,2014J,15,7937,595
GGG,2014J,16,7132,602
GGG,2014J,17,7901,613
GGG,2014J,18,11907,949
GGG,2014J,19,15864,915
GGG,2014J,20,13839,748
GGG,2014J,21,11922,764
GGG,2014J,22,17363,773
GGG,2014J,23,13964,682
GGG,2014J,24,10623,730
GGG,2014J,25,13266,963
GGG,2014J,26,8295,684
GGG,2014J,27,8224,561
GGG,2014J,28,17337,757
GGG,2014J,29,16004,691
GGG,2014J,30,12705,621
GGG,2014J,31,16100,682
GGG,2014J,32,16960,763
GGG,2014J,33,23239,1027
GGG,2014J,34,477,144
GGG,2014J,35,377,112
GGG,2014J,36,326,87
GGG,2014J,37,265,97
GGG,2014J,38,261,95
GGG,2014J,39,130,45
