code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,module_presentation_length,total_clicks,active_days,activity_rows,assessments_recorded,assessments_submitted,average_score,weighted_score,is_withdrawn,is_successful,is_completed,submission_rate,at_risk,outcome_group
AAA,2013J,75091,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,-107,?,268,2992.0,122.0,754.0,5.0,5.0,66.0,65.8,0,1,1,1.0,0,Successful
AAA,2013J,77367,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,-27,?,268,680.0,86.0,271.0,5.0,5.0,70.4,69.5,0,1,1,1.0,0,Successful
AAA,2013J,91265,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,Pass,-31,?,268,1494.0,125.0,496.0,5.0,5.0,70.8,69.0,0,1,1,1.0,0,Successful
AAA,2013J,94961,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Withdrawn,-170,72,268,339.0,24.0,102.0,1.0,1.0,74.0,7.4,1,0,0,1.0,1,Withdrawn
AAA,2013J,98094,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Pass,-107,?,268,2839.0,91.0,386.0,5.0,5.0,60.6,60.6,0,1,1,1.0,0,Successful
AAA,2013J,100893,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,-62,?,268,744.0,52.0,243.0,5.0,5.0,68.4,68.7,0,1,1,1.0,0,Successful
AAA,2013J,101781,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,-103,?,268,4104.0,144.0,913.0,5.0,5.0,72.6,71.6,0,1,1,1.0,0,Successful
AAA,2013J,102806,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,-107,?,268,1944.0,177.0,781.0,5.0,5.0,78.0,76.0,0,1,1,1.0,0,Successful
AAA,2013J,102952,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass,-100,?,268,1150.0,58.0,313.0,5.0,5.0,76.6,77.1,0,1,1,1.0,0,Successful
AAA,2013J,104476,M,Ireland,Post Graduate Qualification,?,35-55,0,60,N,Pass,-109,?,268,4777.0,161.0,992.0,5.0,5.0,79.6,78.9,0,1,1,1.0,0,Successful
AAA,2013J,106247,M,South Region,HE Qualification,80-90%,35-55,0,60,N,Withdrawn,5,175,268,465.0,33.0,145.0,3.0,3.0,60.0,29.299999999999997,1,0,0,1.0,1,Withdrawn
AAA,2013J,106577,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass,-107,?,268,733.0,47.0,221.0,5.0,5.0,53.4,54.199999999999996,0,1,1,1.0,0,Successful
AAA,2013J,110175,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,Pass,-110,?,268,998.0,70.0,343.0,5.0,5.0,63.4,63.699999999999996,0,1,1,1.0,0,Successful
AAA,2013J,111717,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass,-43,?,268,2343.0,136.0,589.0,3.0,3.0,81.0,48.9,0,1,1,1.0,0,Successful
AAA,2013J,113295,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,-26,?,268,3553.0,195.0,1001.0,5.0,5.0,77.6,77.3,0,1,1,1.0,0,Successful
AAA,2013J,114017,F,North Region,Post Graduate Qualification,?,35-55,0,60,N,Pass,-29,?,268,757.0,50.0,231.0,5.0,5.0,71.8,72.3,0,1,1,1.0,0,Successful
AAA,2013J,114999,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,Pass,-68,?,268,1358.0,120.0,510.0,5.0,5.0,72.8,70.8,0,1,1,1.0,0,Successful
AAA,2013J,116541,M,Wales,HE Qualification,0-10%,0-35,0,60,N,Pass,-68,?,268,1886.0,108.0,514.0,5.0,5.0,62.4,59.8,0,1,1,1.0,0,Successful
AAA,2013J,116692,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass,-32,?,268,1108.0,98.0,311.0,5.0,5.0,74.2,74.2,0,1,1,1.0,0,Successful
AAA,2013J,118983,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,Pass,-99,?,268,284.0,27.0,111.0,5.0,5.0,61.8,59.0,0,1,1,1.0,0,Successful
AAA,2013J,123044,M,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,-82,?,268,2041.0,127.0,600.0,5.0,5.0,71.4,70.7,0,1,1,1.0,0,Successful
AAA,2013J,127582,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,Pass,-31,?,268,1321.0,89.0,440.0,5.0,5.0,69.6,69.4,0,1,1,1.0,0,Successful
AAA,2013J,129955,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Withdrawn,-197,135,268,1011.0,83.0,303.0,3.0,3.0,81.0,40.099999999999994,1,0,0,1.0,1,Withdrawn
AAA,2013J,132976,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,Pass,-75,?,268,520.0,32.0,152.0,5.0,5.0,67.4,67.30000000000001,0,1,1,1.0,0,Successful
AAA,2013J,134143,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction,-96,?,268,2732.0,138.0,569.0,5.0,5.0,84.4,83.8,0,1,1,1.0,0,Successful
AAA,2013J,135335,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,180,N,Withdrawn,-29,30,268,57.0,10.0,25.0,0.0,0.0,0.0,0.0,1,0,0,0.0,1,Withdrawn
AAA,2013J,135400,F,South East Region,Lower Than A Level,90-100%,35-55,0,60,Y,Withdrawn,-32,144,268,287.0,24.0,109.0,2.0,2.0,61.5,17.4,1,0,0,1.0,1,Withdrawn
AAA,2013J,137873,M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,-195,?,268,5528.0,192.0,1409.0,5.0,5.0,80.2,81.7,0,1,1,1.0,0,Successful
AAA,2013J,141355,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,240,N,Pass,-61,?,268,1823.0,92.0,585.0,5.0,5.0,72.6,72.0,0,1,1,1.0,0,Successful
AAA,2013J,141377,M,South West Region,A Level or Equivalent,90-100%,0-35,0,345,N,Withdrawn,-110,129,268,143.0,9.0,44.0,1.0,1.0,45.0,4.5,1,0,0,1.0,1,Withdrawn
AAA,2013J,142326,F,North Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,-37,?,268,2121.0,95.0,631.0,5.0,5.0,73.6,75.3,0,1,1,1.0,0,Successful
AAA,2013J,144801,F,South Region,HE Qualification,80-90%,35-55,0,60,N,Pass,-67,?,268,5645.0,200.0,1620.0,5.0,5.0,68.8,70.6,0,1,1,1.0,0,Successful
AAA,2013J,145130,M,South West Region,HE Qualification,60-70%,0-35,0,120,N,Pass,-36,?,268,452.0,35.0,149.0,5.0,5.0,54.4,53.2,0,1,1,1.0,0,Successful
AAA,2013J,146188,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,Y,Fail,-132,?,268,597.0,32.0,192.0,5.0,5.0,50.0,48.8,0,0,1,1.0,0,Unsuccessful
AAA,2013J,147756,M,North Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail,-92,?,268,611.0,74.0,228.0,4.0,4.0,73.75,51.3,0,0,1,1.0,0,Unsuccessful
AAA,2013J,147793,F,North Region,Lower Than A Level,80-90%,0-35,0,90,N,Withdrawn,-138,58,268,155.0,9.0,41.0,1.0,1.0,52.0,5.2,1,0,0,1.0,1,Withdrawn
AAA,2013J,148993,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,-174,158,268,1864.0,106.0,554.0,3.0,3.0,72.0,36.4,1,0,0,1.0,1,Withdrawn
AAA,2013J,151358,F,London Region,A Level or Equivalent,80-90%,0-35,0,150,N,Pass,-44,?,268,270.0,20.0,89.0,5.0,5.0,50.0,49.6,0,1,1,1.0,0,Successful
AAA,2013J,155550,M,London Region,A Level or Equivalent,0-10%,35-55,0,420,N,Pass,-16,?,268,1529.0,81.0,419.0,5.0,5.0,67.0,66.0,0,1,1,1.0,0,Successful
AAA,2013J,155854,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,-54,?,268,4003.0,202.0,963.0,5.0,5.0,79.8,79.4,0,1,1,1.0,0,Successful
AAA,2013J,155984,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn,-64,191,268,908.0,44.0,245.0,2.0,2.0,80.0,23.5,1,0,0,1.0,1,Withdrawn
AAA,2013J,157568,F,South West Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,-52,?,268,1405.0,87.0,386.0,5.0,5.0,70.6,68.6,0,1,1,1.0,0,Successful
AAA,2013J,159954,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,N,Withdrawn,-46,123,268,1185.0,66.0,320.0,2.0,2.0,66.5,20.1,1,0,0,1.0,1,Withdrawn
AAA,2013J,164259,M,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,-64,?,268,466.0,51.0,239.0,5.0,5.0,71.8,70.4,0,1,1,1.0,0,Successful
AAA,2013J,167906,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,-117,?,268,1510.0,99.0,515.0,5.0,5.0,69.4,70.9,0,1,1,1.0,0,Successful
AAA,2013J,168936,F,West Midlands Region,Lower Than A Level,10-20,35-55,0,60,N,Pass,-32,?,268,745.0,42.0,302.0,5.0,5.0,66.4,64.9,0,1,1,1.0,0,Successful
AAA,2013J,172112,M,Ireland,HE Qualification,?,35-55,0,60,N,Pass,-50,?,268,1939.0,135.0,697.0,5.0,5.0,69.6,71.1,0,1,1,1.0,0,Successful
AAA,2013J,172797,F,Ireland,A Level or Equivalent,?,35-55,0,60,N,Pass,-45,?,268,1782.0,86.0,415.0,5.0,5.0,61.4,61.4,0,1,1,1.0,0,Successful
AAA,2013J,174782,M,East Anglian Region,HE Qualification,90-100%,55<=,0,60,N,Pass,-162,?,268,6318.0,249.0,1643.0,5.0,5.0,80.4,80.1,0,1,1,1.0,0,Successful
AAA,2013J,175392,M,North Region,HE Qualification,?,35-55,0,60,N,Pass,-195,?,268,4447.0,197.0,1311.0,5.0,5.0,82.4,81.7,0,1,1,1.0,0,Successful
AAA,2013J,175932,M,North Western Region,HE Qualification,70-80%,35-55,0,60,N,Pass,-92,?,268,2016.0,97.0,437.0,5.0,5.0,78.2,78.8,0,1,1,1.0,0,Successful
AAA,2013J,175991,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,180,N,Fail,-57,?,268,138.0,17.0,50.0,5.0,5.0,37.6,36.0,0,0,1,1.0,0,Unsuccessful
AAA,2013J,180753,M,South West Region,A Level or Equivalent,30-40%,0-35,0,120,N,Pass,-64,?,268,2012.0,157.0,858.0,5.0,5.0,53.4,51.7,0,1,1,1.0,0,Successful
AAA,2013J,181316,F,South West Region,A Level or Equivalent,80-90%,35-55,0,120,N,Withdrawn,-39,60,268,487.0,20.0,145.0,1.0,1.0,76.0,7.6,1,0,0,1.0,1,Withdrawn
AAA,2013J,183096,F,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,-128,?,268,1975.0,116.0,547.0,5.0,5.0,54.0,54.0,0,1,1,1.0,0,Successful
AAA,2013J,183947,M,London Region,A Level or Equivalent,10-20,0-35,0,180,N,Pass,-32,?,268,964.0,58.0,368.0,5.0,5.0,49.0,46.6,0,1,1,1.0,0,Successful
AAA,2013J,184271,M,South West Region,HE Qualification,80-90%,35-55,0,170,N,Pass,-74,?,268,1312.0,147.0,477.0,5.0,5.0,59.8,58.7,0,1,1,1.0,0,Successful
AAA,2013J,185439,M,London Region,HE Qualification,10-20,0-35,0,120,N,Fail,-12,?,268,427.0,15.0,99.0,1.0,1.0,74.0,7.4,0,0,1,1.0,0,Unsuccessful
AAA,2013J,186149,M,Scotland,HE Qualification,30-40%,35-55,0,60,N,Pass,-109,?,268,2136.0,109.0,585.0,5.0,5.0,76.0,75.6,0,1,1,1.0,0,Successful
AAA,2013J,187100,M,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Distinction,-136,?,268,8562.0,231.0,1922.0,5.0,5.0,89.2,89.4,0,1,1,1.0,0,Successful
AAA,2013J,188278,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,0,120,N,Withdrawn,-57,60,268,1434.0,49.0,393.0,1.0,1.0,76.0,7.6,1,0,0,1.0,1,Withdrawn
AAA,2013J,189879,M,Scotland,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,-180,?,268,1541.0,84.0,442.0,5.0,5.0,79.4,78.80000000000001,0,1,1,1.0,0,Successful
AAA,2013J,192183,F,South West Region,Lower Than A Level,90-100%,0-35,0,60,N,Pass,-62,?,268,3219.0,176.0,804.0,5.0,5.0,68.4,66.69999999999999,0,1,1,1.0,0,Successful
AAA,2013J,195262,M,London Region,A Level or Equivalent,90-100%,0-35,0,60,N,Withdrawn,-45,185,268,1905.0,58.0,352.0,1.0,1.0,50.0,10.0,1,0,0,1.0,1,Withdrawn
AAA,2013J,200860,M,London Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass,-54,?,268,534.0,81.0,280.0,5.0,5.0,54.4,50.8,0,1,1,1.0,0,Successful
AAA,2013J,202635,F,Wales,A Level or Equivalent,30-40%,0-35,0,60,N,Withdrawn,-73,166,268,1418.0,47.0,297.0,3.0,3.0,66.66666666666667,33.2,1,0,0,1.0,1,Withdrawn
AAA,2013J,205350,M,South West Region,HE Qualification,80-90%,35-55,0,60,N,Pass,-68,?,268,1665.0,126.0,563.0,5.0,5.0,72.2,72.2,0,1,1,1.0,0,Successful
AAA,2013J,205719,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,90,Y,Fail,-51,?,268,333.0,32.0,117.0,3.0,3.0,56.666666666666664,27.299999999999997,0,0,1,1.0,0,Unsuccessful
AAA,2013J,227499,F,London Region,A Level or Equivalent,10-20,35-55,0,60,N,Distinction,-169,?,268,2953.0,162.0,807.0,5.0,5.0,83.6,83.5,0,1,1,1.0,0,Successful
AAA,2013J,227517,M,Ireland,HE Qualification,?,0-35,0,180,N,Fail,-172,?,268,1205.0,69.0,387.0,5.0,5.0,62.6,61.7,0,0,1,1.0,0,Unsuccessful
AAA,2013J,228082,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass,-31,?,268,227.0,37.0,136.0,5.0,5.0,72.4,74.80000000000001,0,1,1,1.0,0,Successful
AAA,2013J,228222,M,East Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,-108,?,268,445.0,38.0,166.0,5.0,5.0,61.8,60.7,0,1,1,1.0,0,Successful
AAA,2013J,229179,M,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,-165,?,268,614.0,50.0,163.0,5.0,5.0,66.0,65.1,0,1,1,1.0,0,Successful
AAA,2013J,229361,M,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,-58,?,268,1215.0,123.0,349.0,5.0,5.0,78.0,77.5,0,1,1,1.0,0,Successful
AAA,2013J,231554,M,London Region,A Level or Equivalent,40-50%,0-35,0,240,N,Pass,-29,?,268,1839.0,86.0,435.0,4.0,4.0,67.75,52.8,0,1,1,1.0,0,Successful
AAA,2013J,235507,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,240,N,Withdrawn,-79,109,268,190.0,21.0,71.0,1.0,1.0,65.0,6.5,1,0,0,1.0,1,Withdrawn
AAA,2013J,236284,M,Scotland,Post Graduate Qualification,90-100%,0-35,0,60,N,Pass,2,?,268,732.0,41.0,210.0,5.0,5.0,78.0,75.5,0,1,1,1.0,0,Successful
AAA,2013J,238007,M,South Region,HE Qualification,90-100%,55<=,0,60,N,Pass,-151,?,268,1935.0,162.0,743.0,5.0,5.0,79.2,79.5,0,1,1,1.0,0,Successful
AAA,2013J,240712,M,London Region,HE Qualification,80-90%,0-35,0,80,N,Pass,-45,?,268,321.0,26.0,107.0,5.0,5.0,75.8,74.2,0,1,1,1.0,0,Successful
AAA,2013J,240884,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,-47,?,268,427.0,44.0,191.0,5.0,5.0,58.4,56.4,0,1,1,1.0,0,Successful
AAA,2013J,241649,M,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass,-50,?,268,1892.0,135.0,573.0,5.0,5.0,78.8,78.8,0,1,1,1.0,0,Successful
AAA,2013J,241729,F,East Midlands Region,HE Qualification,60-70%,35-55,0,60,N,Fail,-31,?,268,1829.0,117.0,627.0,5.0,5.0,58.6,59.6,0,0,1,1.0,0,Unsuccessful
AAA,2013J,242793,M,London Region,HE Qualification,20-30%,35-55,0,60,N,Pass,-36,?,268,658.0,56.0,263.0,5.0,5.0,77.4,79.2,0,1,1,1.0,0,Successful
AAA,2013J,246834,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,-16,?,268,1174.0,68.0,351.0,5.0,5.0,55.6,54.8,0,1,1,1.0,0,Successful
AAA,2013J,248270,M,North Western Region,Lower Than A Level,20-30%,0-35,0,90,N,Pass,-198,?,268,1969.0,193.0,752.0,5.0,5.0,78.4,78.9,0,1,1,1.0,0,Successful
AAA,2013J,255548,M,Wales,Lower Than A Level,20-30%,35-55,0,60,N,Pass,-103,?,268,2580.0,166.0,815.0,5.0,5.0,71.4,68.4,0,1,1,1.0,0,Successful
AAA,2013J,256815,M,North Western Region,HE Qualification,10-20,0-35,0,120,N,Pass,-117,?,268,1481.0,139.0,518.0,5.0,5.0,76.8,77.7,0,1,1,1.0,0,Successful
AAA,2013J,258392,F,West Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass,-68,?,268,844.0,53.0,299.0,5.0,5.0,58.8,59.1,0,1,1,1.0,0,Successful
AAA,2013J,258894,F,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,-172,?,268,4963.0,204.0,1370.0,5.0,5.0,64.8,64.4,0,1,1,1.0,0,Successful
AAA,2013J,260355,F,London Region,A Level or Equivalent,80-90%,35-55,0,60,N,Withdrawn,-186,170,268,426.0,43.0,134.0,3.0,2.0,57.5,17.5,1,0,0,0.6666666666666666,1,Withdrawn
AAA,2013J,262011,M,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,-145,?,268,1066.0,69.0,345.0,5.0,5.0,71.0,72.1,0,1,1,1.0,0,Successful
AAA,2013J,262934,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,-191,?,268,2407.0,119.0,717.0,5.0,5.0,76.6,76.0,0,1,1,1.0,0,Successful
AAA,2013J,268073,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,90,N,Fail,-33,?,268,3210.0,116.0,716.0,5.0,5.0,74.6,75.5,0,0,1,1.0,0,Unsuccessful
AAA,2013J,268733,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,180,N,Withdrawn,-17,187,268,188.0,18.0,55.0,2.0,2.0,43.0,12.1,1,0,0,1.0,1,Withdrawn
AAA,2013J,271251,M,Scotland,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,-68,?,268,3348.0,128.0,639.0,5.0,5.0,76.4,76.9,0,1,1,1.0,0,Successful
AAA,2013J,277880,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,N,Withdrawn,-108,177,268,2016.0,78.0,470.0,3.0,3.0,67.66666666666667,33.6,1,0,0,1.0,1,Withdrawn
AAA,2013J,279572,M,London Region,Lower Than A Level,40-50%,0-35,0,60,N,Distinction,-138,?,268,1183.0,63.0,297.0,5.0,5.0,79.2,79.6,0,1,1,1.0,0,Successful
AAA,2013J,281022,F,Scotland,A Level or Equivalent,30-40%,0-35,0,150,N,Pass,-74,?,268,492.0,49.0,183.0,5.0,5.0,73.4,73.8,0,1,1,1.0,0,Successful
AAA,2013J,281250,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Fail,-64,?,268,130.0,15.0,77.0,5.0,5.0,55.4,54.3,0,0,1,1.0,0,Unsuccessful
AAA,2013J,281589,M,North Western Region,HE Qualification,30-40%,0-35,0,60,N,Fail,-50,?,268,59.0,8.0,28.0,0.0,0.0,0.0,0.0,0,0,1,0.0,1,Unsuccessful
AAA,2013J,282821,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,-107,?,268,1961.0,87.0,478.0,5.0,5.0,60.6,58.8,0,1,1,1.0,0,Successful
AAA,2013J,286488,M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,-8,?,268,1046.0,68.0,284.0,5.0,5.0,71.0,73.5,0,1,1,1.0,0,Successful
AAA,2013J,287548,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,-52,?,268,483.0,47.0,144.0,5.0,5.0,67.8,67.9,0,1,1,1.0,0,Successful
AAA,2013J,290201,M,Wales,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,-96,?,268,1740.0,108.0,496.0,5.0,5.0,70.4,69.80000000000001,0,1,1,1.0,0,Successful
AAA,2013J,290757,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,-141,?,268,652.0,33.0,153.0,5.0,5.0,75.0,74.5,0,1,1,1.0,0,Successful
AAA,2013J,291334,M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction,-132,?,268,5231.0,229.0,1879.0,5.0,5.0,83.6,82.9,0,1,1,1.0,0,Successful
AAA,2013J,292923,F,South East Region,A Level or Equivalent,90-100%,35-55,0,180,N,Withdrawn,-162,-121,268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,1,Withdrawn
AAA,2013J,293699,M,East Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,N,Pass,-27,?,268,187.0,28.0,114.0,4.0,4.0,46.75,41.5,0,1,1,1.0,0,Successful
AAA,2013J,294570,M,South East Region,HE Qualification,90-100%,55<=,0,60,N,Pass,-80,?,268,1775.0,119.0,438.0,5.0,5.0,78.2,78.69999999999999,0,1,1,1.0,0,Successful
AAA,2013J,294594,M,South East Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,-145,?,268,865.0,94.0,256.0,5.0,5.0,52.8,51.0,0,1,1,1.0,0,Successful
AAA,2013J,295741,M,South East Region,A Level or Equivalent,40-50%,35-55,0,240,N,Fail,-17,?,268,709.0,87.0,300.0,5.0,5.0,50.2,51.900000000000006,0,0,1,1.0,0,Unsuccessful
AAA,2013J,296332,M,South Region,Post Graduate Qualification,90-100%,55<=,0,60,N,Distinction,-115,?,268,2152.0,124.0,511.0,5.0,5.0,86.8,84.30000000000001,0,1,1,1.0,0,Successful
AAA,2013J,298696,F,South East Region,HE Qualification,80-90%,0-35,0,60,N,Pass,-32,?,268,514.0,58.0,201.0,5.0,5.0,80.8,81.8,0,1,1,1.0,0,Successful
AAA,2013J,300398,M,West Midlands Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,-59,?,268,1997.0,108.0,580.0,5.0,5.0,78.8,78.3,0,1,1,1.0,0,Successful
AAA,2013J,302302,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,N,Fail,-83,?,268,513.0,24.0,165.0,3.0,3.0,58.666666666666664,29.400000000000002,0,0,1,1.0,0,Unsuccessful
AAA,2013J,305152,M,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,N,Fail,-18,?,268,146.0,11.0,44.0,1.0,1.0,64.0,6.4,0,0,1,1.0,0,Unsuccessful
AAA,2013J,305386,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,Y,Pass,-66,?,268,1277.0,85.0,368.0,5.0,5.0,78.0,78.1,0,1,1,1.0,0,Successful
